Reporter,Partner,Trade Flow,Trade Value (US$),Netweight (kg),Value_Per_Kg
Dominican Rep.,India,Imports,329684,0.0,0.0
Dominican Rep.,Panama,Imports,607807,0.0,0.0
Dominican Rep.,Switzerland,Imports,36056,0.0,0.0
Dominican Rep.,United Kingdom,Imports,251726,0.0,0.0
Dominican Rep.,United States of America,Imports,65138,0.0,0.0
Ecuador,Argentina,Imports,235,5.0,47.0
Ecuador,Belgium,Imports,15601223,16289.0,957.776597703972
Ecuador,Bulgaria,Imports,30083,81.0,371.39506172839504
Ecuador,Canada,Imports,99420,112.0,887.6785714285714
Ecuador,Colombia,Exports,353010,138.0,2558.0434782608695
Ecuador,France,Imports,5531286,4768.0,1160.0851510067114
