Reporter,Trade Value (US$),Year
,sum,
Paraguay,19827431,2019
El Salvador,16343891,2019
Bulgaria,16257240,2019
Latvia,14805268,2019
"China, Macao SAR",14275449,2019
Uganda,14058895,2019
Croatia,11179778,2019
Thailand,10456721,2019
Serbia,10351626,2019
Senegal,10228498,2019
Cyprus,8913643,2019
Slovenia,8479262,2019
Peru,7157512,2019
Georgia,6674283,2019
TFYR of Macedonia,6579353,2019
Belarus,6534000,2019
Estonia,5806787,2019
Mauritius,5502720,2019
Luxembourg,5073684,2019
Azerbaijan,4782926,2019
Armenia,4706117,2019
Bosnia Herzegovina,4330655,2019
Malta,3440703,2019
Madagascar,3264098,2019
Kyrgyzstan,3162201,2019
Bolivia,2647185,2019
Ghana,2468299,2019
Rep. of Moldova,1620926,2019
Iceland,1415532,2019
Kenya,1208226,2019
Montenegro,1016560,2019
Qatar,905010,2019
Guyana,653345,2019
Belize,489353,2019
Barbados,347154,2019
Palau,46159,2019
Antigua and Barbuda,41627,2019
Aruba,11598,2019
Cabo Verde,11273,2019
Botswana,5546,2019
